登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
4769,2026-01-29,2026-07-30,268,80,44,2,16,8,8,2,20.0,2.5,-0.01,0.0,64,12.5,3.1,15.6
4771,2026-01-29,2026-07-30,278,98,56,20,8,12,2,0,8.2,20.4,0.04,0.7,70,0.0,5.7,14.3
4772,2026-01-29,2026-07-30,244,64,34,2,12,10,2,4,18.8,3.1,-0.03,0.8,50,12.0,4.0,12.0
4773,2026-01-29,2026-07-30,290,74,44,6,12,8,4,0,16.2,8.1,-0.01,0.7,66,6.1,6.1,12.1
4775,2026-01-29,2026-07-30,146,34,20,0,12,0,2,0,35.3,0.0,-0.07,0.0,30,6.7,0.0,26.7
4776,2026-01-29,2026-07-30,284,82,46,6,14,8,4,4,17.1,7.3,0.01,0.0,66,12.1,3.0,9.1
4778,2026-01-29,2026-07-30,176,30,14,4,2,4,6,0,6.7,13.3,0.25,9.2,32,18.8,25.0,0.0
4779,2026-01-29,2026-07-30,208,22,14,0,2,6,0,0,9.1,0.0,-0.02,0.0,28,21.4,7.1,7.1
4781,2026-01-29,2026-07-30,70,4,2,0,0,0,2,0,0.0,0.0,0.0,0.0,8,0.0,25.0,0.0
4782,2026-01-29,2026-07-30,172,18,8,6,0,0,4,0,0.0,33.3,-0.04,0.0,18,22.2,33.3,0.0
4784,2026-01-29,2026-07-30,100,6,2,4,0,0,0,0,0.0,66.7,0.0,0.0,14,28.6,28.6,14.3
4785,2026-01-29,2026-07-30,196,14,4,4,2,2,0,2,14.3,28.6,0.0,1.1,26,30.8,15.4,38.5
4786,2026-01-29,2026-07-30,302,80,44,10,12,10,2,2,15.0,12.5,0.01,1.4,64,6.2,3.1,18.8
4787,2026-01-29,2026-07-30,250,104,46,0,28,26,4,0,26.9,0.0,0.01,0.0,60,6.7,0.0,10.0
4788,2026-01-29,2026-07-30,242,40,20,8,6,2,2,2,15.0,20.0,0.06,0.0,44,22.7,18.2,4.5
4789,2026-01-29,2026-07-30,254,46,22,8,6,6,4,0,13.0,17.4,-0.05,0.0,46,4.3,26.1,13.0
4790,2026-01-29,2026-07-30,230,64,38,4,12,4,6,0,18.8,6.2,0.01,0.0,52,3.8,15.4,3.8
4791,2026-01-29,2026-07-30,240,34,10,6,2,8,8,0,5.9,17.6,-0.05,0.0,40,25.0,10.0,20.0
4792,2026-01-29,2026-07-30,144,16,6,0,10,0,0,0,62.5,0.0,0.24,8.3,20,20.0,10.0,40.0
4793,2026-01-29,2026-07-30,268,86,32,14,18,16,4,2,20.9,16.3,-0.02,0.0,54,14.8,14.8,7.4
4794,2026-01-29,2026-07-30,192,56,32,4,14,2,2,2,25.0,7.1,0.04,1.0,40,0.0,5.0,15.0
4796,2026-01-29,2026-07-30,262,80,42,12,16,8,2,0,20.0,15.0,0.04,0.0,56,7.1,14.3,0.0
4797,2026-01-29,2026-07-30,184,54,24,2,16,8,4,0,29.6,3.7,-0.05,0.0,28,0.0,0.0,14.3
4798,2026-01-29,2026-07-30,282,82,40,12,4,18,6,2,4.9,14.6,-0.01,0.0,58,6.9,6.9,6.9
4803,2026-01-29,2026-07-30,162,8,6,0,2,0,0,0,25.0,0.0,-0.09,0.0,20,0.0,20.0,40.0
4804,2026-01-29,2026-07-30,254,76,30,8,24,6,8,0,31.6,10.5,0.04,0.0,54,11.1,11.1,7.4
4808,2026-01-29,2026-07-30,214,48,24,0,16,4,4,0,33.3,0.0,-0.03,0.0,38,10.5,5.3,5.3
4809,2026-01-29,2026-07-30,180,30,16,6,0,2,6,0,0.0,20.0,-0.01,0.0,34,5.9,17.6,5.9
4811,2026-01-29,2026-07-30,246,34,16,4,8,6,0,0,23.5,11.8,0.07,0.0,32,18.8,12.5,12.5
4812,2026-01-29,2026-07-30,178,58,32,6,10,4,6,0,17.2,10.3,0.1,1.2,46,4.3,4.3,8.7
