toban,stint,branch,firstDate,lastDate,nNear,nFar,winsNear,winsFar,top3Near,top3Far,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
3334,0,広島,2016-11-07,2026-08-05,338,1829,52,263,200,963,1,0.010052,0.007016,0.065199,0.053140,-0.190905,-0.147096
3335,0,佐賀,2016-11-01,2020-10-11,170,413,11,31,58,141,1,-0.010355,0.003011,-0.000228,0.012732,-0.124512,-0.178997
3336,0,東京,2016-11-03,2021-08-15,95,560,9,44,36,231,1,0.016165,0.025738,-0.033553,-0.021837,0.077068,0.030734
3338,0,広島,2016-11-03,2024-05-03,197,788,9,53,64,254,1,-0.021574,-0.018701,0.002538,-0.002857,0.055838,0.072081
3339,0,兵庫,2016-11-01,2026-08-05,259,1354,31,176,114,632,1,-0.010294,-0.017456,-0.026611,-0.039791,0.035322,0.087338
3340,0,東京,2016-11-03,2026-08-10,226,1131,16,95,97,432,1,-0.013200,-0.020120,0.047241,0.046048,-0.099184,-0.089102
3342,0,愛知,2016-11-23,2016-12-31,0,24,0,0,0,0,0,,,,,,
3343,0,福井,2016-11-03,2019-10-02,48,386,6,53,27,214,1,-0.012306,-0.020879,0.008096,-0.001046,-0.227547,-0.189825
3344,0,静岡,2016-11-08,2018-06-11,51,219,4,11,21,75,1,0.028203,0.021614,0.069299,0.064587,-0.212732,-0.192334
3346,0,兵庫,2016-11-03,2026-01-26,257,1335,24,187,116,577,1,-0.046690,-0.044125,0.019152,0.011379,-0.032924,-0.008822
3347,0,東京,2016-11-03,2024-08-02,168,1317,27,231,97,800,1,-0.014684,-0.003363,-0.030060,-0.022133,0.112838,0.073740
3349,0,長崎,2016-11-12,2026-08-10,385,1489,85,375,239,975,1,-0.031068,-0.049804,-0.034023,-0.048396,0.148212,0.214313
3350,0,山口,2016-11-05,2026-08-01,290,1575,41,232,152,868,1,-0.005922,-0.013069,-0.026973,-0.030149,0.070213,0.089185
3352,0,福岡,2016-11-01,2026-08-11,285,1089,8,42,123,475,1,-0.010497,-0.011298,-0.004601,-0.007618,0.047373,0.059875
3353,0,埼玉,2016-11-01,2026-08-11,432,1052,47,113,187,468,1,0.001382,0.006373,-0.011997,0.002181,-0.012278,-0.064657
3355,0,東京,2016-11-01,2026-08-05,120,799,3,18,51,246,1,0.002472,-0.014839,0.117115,0.101855,-0.248540,-0.180822
3357,0,岡山,2016-11-01,2026-08-11,261,1548,24,120,105,584,1,0.014435,0.028188,0.025038,0.032637,-0.131627,-0.171106
3358,0,山口,2016-11-08,2019-01-24,48,197,3,13,14,54,1,-0.003490,-0.021977,0.017555,-0.027729,-0.221552,-0.052087
3360,0,福岡,2016-11-01,2020-02-18,57,595,14,116,35,350,1,0.050656,0.019762,0.025800,-0.000206,-0.060386,0.054685
3361,0,徳島,2016-11-01,2026-08-10,114,1395,6,127,39,541,1,-0.038408,-0.038990,-0.045708,-0.042641,0.290304,0.278308
3362,0,三重,2016-11-03,2026-08-11,589,1709,115,412,347,1044,1,-0.045830,-0.044818,-0.021749,-0.021732,0.127574,0.126367
3363,0,長崎,2016-11-01,2017-03-01,18,35,1,0,1,5,0,,,,,,
3365,0,大阪,2016-11-03,2019-09-25,70,374,7,29,34,138,1,0.022460,0.012199,0.116730,0.102987,-0.332238,-0.279052
3370,0,大阪,2016-11-01,2026-08-08,330,1228,27,94,101,439,1,0.005271,0.013268,-0.051431,-0.048289,0.136068,0.119940
3372,0,広島,2016-11-01,2026-08-08,348,920,13,37,92,260,1,-0.002861,-0.005572,-0.018241,-0.020401,0.065930,0.076485
3373,0,福岡,2016-11-03,2018-01-17,14,153,0,9,6,39,0,,,,,,
3376,0,群馬,2016-11-01,2021-06-24,296,505,28,25,100,135,1,0.045090,0.036172,0.070511,0.064557,-0.216417,-0.187293
3377,0,東京,2016-11-01,2026-08-05,138,1011,17,70,59,394,1,0.053950,0.042235,0.037823,0.024046,-0.127747,-0.069362
3379,0,福岡,2016-11-01,2018-06-03,52,268,13,61,36,165,1,0.022388,0.001035,0.076636,0.032566,-0.142078,0.026265
3381,0,埼玉,2016-12-15,2026-07-27,458,1186,81,213,242,600,1,-0.002739,0.005343,0.022482,0.024955,-0.057258,-0.071646
3382,0,東京,2016-11-23,2022-05-01,120,440,9,28,45,138,1,0.011364,-0.008045,0.061364,0.042440,-0.034848,0.046028
3385,0,東京,2016-11-01,2026-08-11,307,1397,64,282,196,824,1,0.006608,0.001908,0.048601,0.047107,-0.163923,-0.153148
3388,0,福井,2016-11-09,2026-06-22,278,1446,77,363,171,881,1,0.025941,0.027322,0.005841,0.011948,-0.084928,-0.105818
3391,0,東京,2016-11-05,2026-08-11,34,299,5,51,18,171,1,-0.023510,-0.019246,-0.042495,-0.028879,0.183061,0.133799
3392,0,三重,2016-11-08,2026-08-09,389,1121,31,80,158,410,1,0.008327,0.009168,0.040425,0.043873,-0.135346,-0.147685
3393,0,東京,2016-11-25,2019-12-20,47,210,3,6,16,45,1,0.035258,0.029593,0.126140,0.102430,-0.531408,-0.442010
3397,0,広島,2016-11-01,2018-10-26,56,242,3,13,12,61,1,-0.000148,0.002768,-0.037780,-0.044626,-0.028778,-0.006316
