date,model,jcd,rno,p,high,y,hit
20260812,m8-v1-pm,07,8,0.2141,false,0,
20260812,m8-v1-pm,22,3,0.1976,false,0,
20260812,m8-v1-pm,08,3,0.1976,false,0,
20260812,m8-v1-pm,22,5,0.1976,false,0,
20260812,m8-v1-pm,13,3,0.1976,false,0,
20260812,m8-v1-pm,01,5,0.1976,false,0,
20260812,m8-v1-pm,24,12,0.1976,false,0,
20260812,m8-v1-pm,04,1,0.1976,false,0,
20260812,m8-v1-pm,08,10,0.1976,false,0,
20260812,m8-v1-pm,19,9,0.1976,false,0,
20260812,m8-v1-pm,21,2,0.1976,false,1,
20260812,m8-v1-pm,02,12,0.1976,false,0,
20260812,m8-v1-pm,24,10,0.1976,false,0,
20260812,m8-v1-pm,01,10,0.1976,false,1,
20260812,m8-v1-pm,04,6,0.1976,false,0,
20260812,m8-v1-pm,13,9,0.1671,false,1,
20260812,m8-v1-pm,04,9,0.1671,false,1,
20260812,m8-v1-pm,06,12,0.1671,false,0,
20260812,m8-v1-pm,22,4,0.1671,false,0,
20260812,m8-v1-pm,20,10,0.1671,false,0,
20260812,m8-v1-pm,22,2,0.1671,false,0,
20260812,m8-v1-pm,04,8,0.1671,false,0,
20260812,m8-v1-pm,06,9,0.1671,false,0,
20260812,m8-v1-pm,04,5,0.1671,false,0,
20260812,m8-v1-pm,13,6,0.1671,false,1,
20260812,m8-v1-pm,08,9,0.1671,false,0,
20260812,m8-v1-pm,22,9,0.1671,false,0,
20260812,m8-v1-pm,06,5,0.1671,false,0,
20260812,m8-v1-pm,02,10,0.1671,false,0,
20260812,m8-v1-pm,21,9,0.1671,false,0,
20260812,m8-v1-pm,20,8,0.1671,false,1,
20260812,m8-v1-pm,03,8,0.1671,false,0,
20260812,m8-v1-pm,01,11,0.1671,false,0,
20260812,m8-v1-pm,21,1,0.1671,false,0,
20260812,m8-v1-pm,20,2,0.1671,false,0,
20260812,m8-v1-pm,03,5,0.1671,false,0,
20260812,m8-v1-pm,20,9,0.1671,false,0,
20260812,m8-v1-pm,22,10,0.1373,false,1,
20260812,m8-v1-pm,04,11,0.1373,false,0,
20260812,m8-v1-pm,19,10,0.1373,false,0,
20260812,m8-v1-pm,21,3,0.1373,false,0,
20260812,m8-v1-pm,19,1,0.1373,false,0,
20260812,m8-v1-pm,07,7,0.1373,false,1,
20260812,m8-v1-pm,07,3,0.1373,false,1,
20260812,m8-v1-pm,08,11,0.1373,false,0,
20260812,m8-v1-pm,06,10,0.1373,false,0,
20260812,m8-v1-pm,13,7,0.1373,false,0,
20260812,m8-v1-pm,16,6,0.1373,false,0,
20260812,m8-v1-pm,19,5,0.1373,false,0,
20260812,m8-v1-pm,02,1,0.1373,false,0,
20260812,m8-v1-pm,08,12,0.1373,false,0,
20260812,m8-v1-pm,08,2,0.1373,false,0,
20260812,m8-v1-pm,03,6,0.1373,false,1,
20260812,m8-v1-pm,02,8,0.1373,false,1,
20260812,m8-v1-pm,08,1,0.1111,false,0,
20260812,m8-v1-pm,21,11,0.0984,false,0,
20260812,m8-v1-pm,02,11,0.0984,false,0,
20260812,m8-v1-pm,16,4,0.0984,false,1,
20260812,m8-v1-pm,20,7,0.0984,false,0,
20260812,m8-v1-pm,22,8,0.0984,false,0,
20260812,m8-v1-pm,16,10,0.0984,false,0,
20260812,m8-v1-pm,07,12,0.0984,false,0,
20260812,m8-v1-pm,03,10,0.0984,false,0,
20260812,m8-v1-pm,22,12,0.0984,false,0,
20260812,m8-v1-pm,16,5,0.0984,false,0,
20260812,m8-v1-pm,20,11,0.0984,false,0,
20260812,m8-v1-pm,22,11,0.0984,false,1,
20260812,m8-v1-pm,07,11,0.0984,false,0,
20260812,m8-v1-pm,06,8,0.0984,false,0,
20260812,m8-v1-pm,03,9,0.0984,false,0,
20260812,m8-v1-pm,02,5,0.0984,false,0,
20260812,m8-v1-pm,19,8,0.0984,false,0,
20260812,m8-v1-pm,21,10,0.0984,false,0,
20260812,m8-v1-pm,16,9,0.0984,false,0,
20260812,m8-v1-pm,03,11,0.0984,false,0,
20260812,m8-v1-pm,03,12,0.0984,false,0,
20260812,m8-v1-pm,04,12,0.0984,false,0,
20260812,m8-v1-pm,21,4,0.0984,false,1,
20260812,m8-v1-pm,20,3,0.0984,false,0,
20260812,m8-v1-pm,24,11,0.0984,false,0,
20260812,m8-v1-pm,06,7,0.0984,false,0,
20260812,m8-v1-pm,20,6,0.0984,false,0,
20260812,m8-v1-pm,01,7,0.0984,false,0,
20260812,m8-v1-pm,13,8,0.0984,false,0,
